image_path,x1,y1,x2,y2,class
PennFudanPed/PNGImages/PennPed00013.png,98,79,210,359,person
PennFudanPed/PNGImages/PennPed00013.png,259,96,364,359,person
PennFudanPed/PNGImages/PennPed00013.png,384,81,498,355,person
PennFudanPed/PNGImages/PennPed00013.png,215,91,257,193,person
PennFudanPed/PNGImages/PennPed00007.png,42,60,165,350,person
PennFudanPed/PNGImages/PennPed00007.png,127,83,201,359,person
PennFudanPed/PNGImages/PennPed00007.png,187,76,309,369,person
PennFudanPed/PNGImages/PennPed00007.png,299,76,381,400,person
PennFudanPed/PNGImages/PennPed00007.png,426,68,527,343,person
PennFudanPed/PNGImages/FudanPed00014.png,234,86,405,367,person
PennFudanPed/PNGImages/FudanPed00028.png,7,16,149,303,person
PennFudanPed/PNGImages/FudanPed00028.png,186,18,316,321,person
PennFudanPed/PNGImages/FudanPed00029.png,246,72,368,351,person
PennFudanPed/PNGImages/FudanPed00015.png,19,43,174,327,person
PennFudanPed/PNGImages/FudanPed00001.png,160,182,302,431,person
PennFudanPed/PNGImages/FudanPed00001.png,420,171,535,486,person
PennFudanPed/PNGImages/PennPed00006.png,111,72,199,412,person
PennFudanPed/PNGImages/PennPed00006.png,231,96,329,388,person
PennFudanPed/PNGImages/PennPed00006.png,443,108,608,435,person
PennFudanPed/PNGImages/PennPed00006.png,3,102,69,397,person
PennFudanPed/PNGImages/PennPed00012.png,114,122,212,403,person
PennFudanPed/PNGImages/PennPed00004.png,67,61,170,410,person
PennFudanPed/PNGImages/PennPed00004.png,155,91,253,385,person
PennFudanPed/PNGImages/PennPed00004.png,228,94,325,391,person
PennFudanPed/PNGImages/PennPed00004.png,417,101,516,391,person
PennFudanPed/PNGImages/PennPed00004.png,595,112,734,397,person
PennFudanPed/PNGImages/PennPed00010.png,18,59,103,340,person
PennFudanPed/PNGImages/PennPed00010.png,186,56,262,337,person
PennFudanPed/PNGImages/PennPed00010.png,309,141,437,493,person
PennFudanPed/PNGImages/PennPed00010.png,475,76,619,451,person
PennFudanPed/PNGImages/PennPed00010.png,392,58,485,421,person
PennFudanPed/PNGImages/PennPed00010.png,563,36,681,394,person
PennFudanPed/PNGImages/PennPed00038.png,232,39,368,316,person
PennFudanPed/PNGImages/FudanPed00017.png,115,48,244,332,person
PennFudanPed/PNGImages/FudanPed00003.png,293,135,447,421,person
PennFudanPed/PNGImages/FudanPed00002.png,68,93,191,380,person
PennFudanPed/PNGImages/FudanPed00016.png,80,86,205,383,person
PennFudanPed/PNGImages/FudanPed00016.png,279,94,400,361,person
PennFudanPed/PNGImages/FudanPed00016.png,411,101,495,378,person
PennFudanPed/PNGImages/PennPed00039.png,326,73,411,360,person
PennFudanPed/PNGImages/PennPed00011.png,92,62,236,344,person
PennFudanPed/PNGImages/PennPed00011.png,242,52,301,355,person
PennFudanPed/PNGImages/PennPed00005.png,68,130,159,405,person
PennFudanPed/PNGImages/PennPed00005.png,165,154,252,410,person
PennFudanPed/PNGImages/PennPed00005.png,263,144,415,439,person
PennFudanPed/PNGImages/PennPed00005.png,540,169,666,440,person
PennFudanPed/PNGImages/PennPed00005.png,602,156,701,396,person
PennFudanPed/PNGImages/PennPed00029.png,114,65,214,370,person
PennFudanPed/PNGImages/PennPed00029.png,274,98,339,391,person
PennFudanPed/PNGImages/PennPed00029.png,363,102,466,388,person
PennFudanPed/PNGImages/PennPed00029.png,509,103,585,392,person
PennFudanPed/PNGImages/PennPed00001.png,83,66,197,353,person
PennFudanPed/PNGImages/PennPed00001.png,265,75,355,338,person
PennFudanPed/PNGImages/PennPed00001.png,403,38,501,348,person
PennFudanPed/PNGImages/PennPed00001.png,514,65,610,318,person
PennFudanPed/PNGImages/PennPed00001.png,206,25,266,196,person
PennFudanPed/PNGImages/PennPed00015.png,123,98,280,414,person
PennFudanPed/PNGImages/PennPed00015.png,286,91,448,378,person
PennFudanPed/PNGImages/PennPed00015.png,749,94,834,382,person
PennFudanPed/PNGImages/FudanPed00012.png,159,71,295,361,person
PennFudanPed/PNGImages/FudanPed00012.png,328,58,439,327,person
PennFudanPed/PNGImages/FudanPed00006.png,208,108,346,385,person
PennFudanPed/PNGImages/FudanPed00006.png,2,108,87,384,person
PennFudanPed/PNGImages/FudanPed00007.png,112,69,218,346,person
PennFudanPed/PNGImages/FudanPed00007.png,378,76,529,377,person
PennFudanPed/PNGImages/FudanPed00007.png,317,108,347,192,person
PennFudanPed/PNGImages/FudanPed00013.png,389,193,554,476,person
PennFudanPed/PNGImages/PennPed00014.png,127,40,206,229,person
PennFudanPed/PNGImages/PennPed00014.png,209,69,312,337,person
PennFudanPed/PNGImages/PennPed00014.png,354,60,448,337,person
PennFudanPed/PNGImages/PennPed00014.png,286,41,353,225,person
PennFudanPed/PNGImages/PennPed00028.png,211,50,325,334,person
PennFudanPed/PNGImages/PennPed00016.png,86,51,146,362,person
PennFudanPed/PNGImages/PennPed00016.png,236,93,329,382,person
PennFudanPed/PNGImages/PennPed00016.png,468,66,579,367,person
PennFudanPed/PNGImages/PennPed00002.png,9,84,97,304,person
PennFudanPed/PNGImages/PennPed00002.png,83,45,165,298,person
PennFudanPed/PNGImages/PennPed00002.png,268,84,370,298,person
PennFudanPed/PNGImages/PennPed00002.png,363,33,516,335,person
PennFudanPed/PNGImages/PennPed00002.png,576,75,713,362,person
PennFudanPed/PNGImages/PennPed00002.png,517,92,608,300,person
PennFudanPed/PNGImages/FudanPed00039.png,137,137,199,311,person
PennFudanPed/PNGImages/FudanPed00039.png,231,130,331,410,person
PennFudanPed/PNGImages/FudanPed00005.png,188,59,320,336,person
PennFudanPed/PNGImages/FudanPed00005.png,2,53,40,158,person
PennFudanPed/PNGImages/FudanPed00011.png,278,112,438,394,person
PennFudanPed/PNGImages/FudanPed00010.png,281,90,401,374,person
PennFudanPed/PNGImages/FudanPed00004.png,168,60,324,338,person
PennFudanPed/PNGImages/FudanPed00004.png,9,61,48,180,person
PennFudanPed/PNGImages/FudanPed00038.png,219,44,400,331,person
PennFudanPed/PNGImages/PennPed00003.png,8,33,174,365,person
PennFudanPed/PNGImages/PennPed00003.png,452,64,531,353,person
PennFudanPed/PNGImages/PennPed00003.png,531,91,661,381,person
PennFudanPed/PNGImages/PennPed00017.png,115,50,204,387,person
PennFudanPed/PNGImages/PennPed00017.png,259,49,398,336,person
PennFudanPed/PNGImages/PennPed00070.png,15,24,122,341,person
PennFudanPed/PNGImages/PennPed00070.png,185,14,306,312,person
PennFudanPed/PNGImages/PennPed00064.png,226,29,334,314,person
PennFudanPed/PNGImages/PennPed00058.png,167,27,245,316,person
PennFudanPed/PNGImages/PennPed00058.png,228,31,307,291,person
PennFudanPed/PNGImages/PennPed00058.png,321,65,452,351,person
PennFudanPed/PNGImages/PennPed00058.png,295,22,374,274,person
PennFudanPed/PNGImages/FudanPed00063.png,29,38,114,332,person
PennFudanPed/PNGImages/FudanPed00063.png,156,42,262,329,person
PennFudanPed/PNGImages/FudanPed00063.png,312,54,330,99,person
PennFudanPed/PNGImages/FudanPed00063.png,297,54,303,73,person
PennFudanPed/PNGImages/FudanPed00063.png,305,53,310,73,person
PennFudanPed/PNGImages/FudanPed00062.png,175,25,255,321,person
PennFudanPed/PNGImages/FudanPed00062.png,291,34,377,330,person
PennFudanPed/PNGImages/PennPed00059.png,80,44,177,337,person
PennFudanPed/PNGImages/PennPed00059.png,381,36,529,323,person
PennFudanPed/PNGImages/PennPed00065.png,24,21,139,304,person
PennFudanPed/PNGImages/PennPed00071.png,49,19,171,361,person
PennFudanPed/PNGImages/PennPed00071.png,292,44,386,305,person
PennFudanPed/PNGImages/PennPed00071.png,476,25,567,302,person
PennFudanPed/PNGImages/PennPed00071.png,600,13,716,306,person
PennFudanPed/PNGImages/PennPed00071.png,567,53,612,180,person
