image_name,annotation_id,x_min,y_min,x_max,y_max
FudanPed00001.png,1,281,56,381,256
FudanPed00001.png,2,144,72,208,200
FudanPed00002.png,3,126,54,190,182
FudanPed00003.png,4,279,126,343,254
FudanPed00004.png,5,182,28,282,228
FudanPed00005.png,6,247,33,327,193
FudanPed00006.png,7,315,18,379,146
FudanPed00006.png,8,27,18,91,146
FudanPed00007.png,9,70,56,170,256
FudanPed00007.png,10,333,54,397,182
FudanPed00007.png,11,9,54,73,182
FudanPed00008.png,12,292,78,372,238
FudanPed00009.png,13,157,67,237,227
FudanPed00010.png,14,236,90,316,250
FudanPed00011.png,15,261,126,325,254
FudanPed00012.png,16,112,56,212,256
FudanPed00012.png,17,295,28,395,228
FudanPed00013.png,18,247,90,327,250
FudanPed00013.png,19,45,36,109,164
FudanPed00014.png,20,267,42,367,242
FudanPed00015.png,21,56,28,156,228
FudanPed00016.png,22,243,99,307,227
FudanPed00016.png,23,306,54,370,182
FudanPed00016.png,24,70,56,170,256
FudanPed00018.png,25,14,14,114,214
FudanPed00019.png,26,153,99,217,227
FudanPed00020.png,27,270,56,350,216
FudanPed00020.png,28,45,56,125,216
FudanPed00021.png,29,253,42,353,242
FudanPed00021.png,30,45,0,109,128
FudanPed00021.png,31,108,54,172,182
FudanPed00022.png,32,281,45,361,205
FudanPed00022.png,33,0,36,64,164
FudanPed00022.png,34,90,63,154,191
FudanPed00023.png,35,253,42,353,242
FudanPed00024.png,36,63,81,127,209
FudanPed00024.png,37,180,11,260,171
FudanPed00025.png,38,123,45,203,205
FudanPed00025.png,39,210,42,310,242
FudanPed00025.png,40,33,45,113,205
FudanPed00026.png,41,67,90,147,250
FudanPed00026.png,42,198,99,262,227
FudanPed00027.png,43,158,0,283,250
FudanPed00028.png,44,98,42,198,242
FudanPed00028.png,45,306,18,370,146
FudanPed00029.png,46,210,42,310,242
FudanPed00030.png,47,90,54,154,182
FudanPed00032.png,48,324,126,388,254
FudanPed00033.png,49,216,45,280,173
FudanPed00033.png,50,78,0,158,160
FudanPed00034.png,51,193,0,318,250
FudanPed00036.png,52,295,42,395,242
FudanPed00036.png,53,42,42,142,242
FudanPed00036.png,54,189,81,253,209
FudanPed00037.png,55,33,33,113,193
